model,bfcl_model,n_tasks,accuracy,avg_input_tokens_per_task,avg_output_tokens_per_task,total_input_tokens,total_output_tokens,total_cost_usd,total_cost_cny
deepseek-v4-flash,deepseek-v4-flash-FC,100,0.93,73154.4,1786.2,7315443,178624,1.0742,7.31
deepseek-v4-pro,deepseek-v4-pro-FC,100,0.64,61466.4,1575.2,6146641,157522,2.8108,19.13
qwen3.7-max,qwen3.7-max-FC,100,0.64,66335.5,1955.1,6633546,195508,12.7288,86.64
qwen3.7-plus,qwen3.7-plus-FC,100,0.78,62114.6,2060.4,6211463,206036,2.0673,14.07
qwen3.6-flash,qwen3.6-flash-FC,100,0.61,53953.7,2383.9,5395365,238394,1.2034,8.19
qwen3.5-397b-a17b,qwen3.5-397b-a17b-FC,100,0.74,60943.2,1738.5,6094320,173846,1.2583,8.56
qwen3.5-122b-a10b,qwen3.5-122b-a10b-FC,100,0.67,62408.9,1763.1,6240888,176309,0.8993,6.12
qwen3.5-35b-a3b,qwen3.5-35b-a3b-FC,100,0.58,67123.3,1842.3,6712333,184232,0.4811,3.27
qwen3.5-27b,qwen3.5-27b-FC,100,0.72,61800.2,1664.1,6180023,166406,0.6621,4.51
qwen3-32b,qwen3-32b-FC,100,0.23,40924.5,331.8,4092446,33178,1.2415,8.45
qwen3-235b-instruct,qwen3-235b-a22b-instruct-2507-FC,100,0.5,52352.8,408.3,5235279,40831,1.5863,10.8
qwen3-235b-thinking,qwen3-235b-a22b-thinking-2507-FC,100,0.63,56498.1,5601.8,5649809,560184,3.3061,22.5
